teamId,teamName,division,donference,stadiumId
1,Miami Dolphins,E,A,1
2,Washington Redskins,E,N,2
3,Cincinnati Bengals,N,A,7
4,Baltimore Ravens,N,A,11
5,New Orleans Saints,S,N,3
6,Pittsburgh Steelers,N,A,5
7,New England Patriots,E,A,12
13,Minnesota Vikings,N,N,20
15,Buffalo Bills,E,A,4
16,San Diego Chargers,W,N,19
17,Kansas City Chiefs,W,A,17
18,San Francisco 49ers,W,N,15
19,Tennessee Titans,S,A,38
22,Green Bay Packers,N,N,6
23,Chicago Bears,N,N,13
24,Seattle Seahawks,W,N,23
25,Denver Broncos,W,A,32
26,St. Louis Rams,W,N,10
28,Arizona Cardinals,W,N,21
29,Jacksonville Jaguars,S,A,29
33,Atlanta Falcons,S,N,26
35,Dallas Cowboys,E,N,18
36,Oakland Raiders,W,A,16
37,New York Jets,E,A,121
38,Detroit Lions,N,N,27
39,Indianapolis Colts,S,A,28
40,Carolina Panthers,N,A,31
48,Houston Texans,S,A,36
49,Phillidelphia Eagles,E,N,25
50,New York Giants,E,N,0
51,Tampa Bay Buccaneers,S,N,0
58,Cleveland Browns,N,A,40
